codigo,descripcion
1,Departamental de Atlántida
2,Departamental de Colón
3,Departamental de Comayagua
4,Departamental de Copán
5,Departamental de Cortés
6,Departamental de Choluteca
7,Departamental de El Paraíso
8,Departamental de Francisco Morazán
9,Departamental de Gracias a Dios
10,Departamental de Intibucá
11,Departamental de Islas de la Bahía
12,Departamental de La Paz
13,Departamental de Lempira
14,Departamental de Ocotepeque
15,Departamental de Olancho
16,Departamental de Santa Bárbara
17,Departamental de Valle
18,Departamental de Yoro
19,Metropolitana del Distrito Central
20,Metropolitana de San Pedro Sula
